customer_id,first_name,last_name,email,street,city,state,country
0,John,Diaz,yhayes@example.org,80801 Evans Islands,Port Nicolefort,West Virginia,United Kingdom
1,Heather,Miller,susan85@example.net,6905 Mclean Ports Suite 956,Wardport,Arizona,Costa Rica
2,Kyle,Liu,danielle98@example.net,418 Vanessa Stream,South Paulfort,Arkansas,Belgium
3,Darren,Jones,masonmark@example.org,6788 Kayla Shoal,Emilystad,Indiana,Netherlands Antilles
4,Stephanie,Townsend,rachel74@example.net,12557 Williams Forges Suite 403,New Clinton,Louisiana,Tanzania
5,Julie,White,matthew49@example.com,5853 Margaret Ports,North Gregory,Kansas,Cayman Islands
6,Michael,Mcdonald,mariafrank@example.org,7833 Bailey Extensions Suite 209,West Edward,Ohio,Nicaragua
7,Stephanie,Johnson,ahayes@example.net,1468 Kenneth Glens,North Andrew,Wyoming,Ghana
8,Jason,Brown,lisamorris@example.org,35496 Davidson Loaf Apt. 102,Basston,Louisiana,United States Virgin Islands
9,Joseph,Yu,michaellevine@example.com,2714 Franklin Fall Suite 091,Lake Andrewmouth,Delaware,Faroe Islands
10,Kristin,Rosales,jamie36@example.net,859 Hunt Place,West Anita,South Dakota,Sudan
11,Shawna,Campbell,michael24@example.com,6126 Fry Run Apt. 990,Jeffborough,Delaware,Taiwan
12,David,Marshall,kellymcmahon@example.net,40393 Erica Course,Freyborough,Iowa,Peru
13,Autumn,Stokes,nreynolds@example.com,1229 Meagan Land Suite 142,Port Williamland,Alaska,United States of America
14,David,Holder,christopher88@example.com,378 Justin Hills,New Andrewmouth,Massachusetts,Niger
15,Gwendolyn,Johnson,tyler51@example.net,691 Baker Haven,Lake Regina,Colorado,Colombia
16,Christopher,Robles,tiffany99@example.org,943 Taylor Brook,North Nicolehaven,Alaska,Congo
17,Taylor,Smith,marylewis@example.org,60211 Christina Points Apt. 027,Edwardschester,Utah,Liberia
18,Lynn,Armstrong,vcox@example.com,936 Debra Wells,Lake Angel,Delaware,Rwanda
19,Angela,Gonzalez,lucas12@example.org,7157 Elizabeth Squares Apt. 136,Sullivanville,West Virginia,Togo
20,Paul,Norman,leebrandon@example.com,93519 Nancy Glen Suite 494,South John,Vermont,Yemen
21,Kathy,Baker,ryandixon@example.org,97398 Heather Meadow,Simonview,Arizona,Malawi
22,Felicia,Johnson,pamelamoses@example.org,573 Robles Plaza Suite 194,Brentview,Indiana,Kiribati
23,Melissa,Jackson,markwalker@example.org,079 Johnson Streets,Townsendmouth,New Jersey,Cocos (Keeling) Islands
24,Rita,Knight,brittany40@example.org,893 Lindsey Pines,Stonemouth,Montana,Norway
25,Christopher,Ortiz,kwood@example.net,2825 Spencer Prairie,Cookberg,Maryland,Korea
26,Sheila,Gibbs,johnsmith@example.net,5342 Jennifer Knolls,Amandafort,Alabama,Ethiopia
27,Rachel,Paul,uthomas@example.com,4920 Cameron Point,Clarkshire,Idaho,Barbados
28,Christina,Stephens,ppatterson@example.org,523 Joseph Way Suite 648,Baldwinport,New Hampshire,Russian Federation
29,Shawn,Rogers,qsanders@example.net,6763 Johnson Brooks,North Jorge,West Virginia,Haiti
30,Todd,Butler,singletonmark@example.org,42377 Connie Shore Apt. 656,Lake Jonathan,Vermont,Belize
31,Jason,Powers,travisgomez@example.org,446 David Inlet,Whiteport,Alaska,Japan
32,Kelly,Williams,knightvanessa@example.org,088 Baker Burg,Berrymouth,South Dakota,Thailand
33,Brian,Brooks,garzaamanda@example.org,4375 Mendez Estate Apt. 377,South Charlesview,Pennsylvania,France
34,Douglas,Peterson,davidjenkins@example.org,15771 Pearson Heights Suite 742,East Carl,Arkansas,Netherlands Antilles
35,Robert,Walters,victoria12@example.com,686 Scott Drives,Sarahton,Utah,Saint Helena
36,Samantha,Stewart,lisawall@example.org,59456 Kidd Cliffs Apt. 235,Taylorfurt,Alabama,Samoa
37,Rebecca,Gonzalez,wadkins@example.net,748 Robbins Field,New Micheleton,North Carolina,Uruguay
38,Joshua,Olson,brandon57@example.org,7994 Aguilar Underpass Suite 811,New Catherine,Idaho,Cameroon
39,Craig,Gonzales,matthew50@example.org,75930 Brittney Roads Suite 964,Jonesland,Alaska,Romania
40,Kelly,Cruz,christopherdavis@example.net,0560 Hannah Canyon Apt. 217,Perezmouth,Nebraska,French Guiana
41,Brittany,Yates,stewartelizabeth@example.org,324 Robbins Port Suite 558,Lake Cindyville,Oklahoma,South Africa
42,Nicole,Kirk,amoore@example.com,682 Brian Estate Apt. 814,West Sharon,Missouri,Saint Barthelemy
43,Katherine,Cannon,jim65@example.org,9718 George Parkway,Dukemouth,Montana,Martinique
44,Donald,Larsen,mary32@example.org,806 Fitzpatrick Freeway,North Ashley,Montana,Angola
45,Alfred,Horne,thompsonjade@example.org,579 Valencia Green Suite 344,Rowefurt,Connecticut,Bangladesh
46,Sandra,Fisher,bradknight@example.com,48249 Cynthia Manors,Lake Dennischester,Vermont,Saint Lucia
47,Tracey,Gilbert,dianalewis@example.org,70481 Porter Turnpike Apt. 778,Port Davidmouth,Michigan,Puerto Rico
48,Kevin,Lamb,davidking@example.org,007 Cannon Harbor Apt. 072,Davisview,Mississippi,Wallis and Futuna
49,Jason,Hartman,howardfrank@example.org,89509 Brown Station,Jorgefort,Wisconsin,Singapore
50,David,Watson,townsendkatie@example.org,7133 Alexander Land Apt. 342,West Timothy,Florida,Turkmenistan
51,Jose,Allison,fwilliams@example.com,49258 Gary Roads,New Jamesburgh,Wyoming,Montserrat
52,Melinda,Clark,joneskyle@example.net,43058 Prince Flats Suite 500,Joanneport,Arizona,Bermuda
53,Isaac,Hughes,holly26@example.com,62967 Monique Vista,Lake Timothy,Florida,Cyprus
54,Heidi,Marsh,taraparker@example.com,55453 Perez Meadow,Jacquelinehaven,North Carolina,Equatorial Guinea
55,Joseph,Davis,penajames@example.org,3118 Rivera Forks Apt. 869,New Kristiland,North Carolina,Nepal
56,Stephen,Martinez,bryanrush@example.com,57570 Evans Tunnel Suite 332,Kylestad,Florida,Ukraine
57,Joshua,Green,coopertimothy@example.org,994 Barker Mountains,Port Josephborough,New Jersey,Eritrea
58,Linda,Gonzalez,qbarber@example.com,934 Andrea Orchard Apt. 857,Lake Emily,Texas,Gambia
59,Jenna,Carroll,zrogers@example.com,755 Tyler Fork Apt. 484,Lake Mary,Rhode Island,Uruguay
60,Heather,Kelly,collinsjennifer@example.net,238 Martinez Ways,Port Christy,Louisiana,Costa Rica
61,Amber,Brown,lamkayla@example.net,47673 Johnson Summit Suite 165,Port Richard,Wisconsin,Saint Lucia
62,Alyssa,Hayes,qpratt@example.com,518 Theresa Mall Apt. 024,New Davidmouth,Kansas,Timor-Leste
63,Anna,Guzman,ysmith@example.com,6282 Brianna Inlet Suite 107,Anthonyfurt,Louisiana,Barbados
64,Melanie,Martin,tnelson@example.org,181 Hicks Crescent Apt. 643,Tammystad,Virginia,Switzerland
65,Richard,Clark,jeffreyhunter@example.com,0944 Michael Crossing Apt. 707,New Garretttown,Massachusetts,South Africa
66,Mary,Martin,james78@example.org,6906 Woods Port Apt. 653,Elizabethmouth,New Hampshire,Saint Helena
67,Alyssa,Jones,amber25@example.org,651 Brenda Squares,Johnsontown,Tennessee,Singapore
68,Philip,Villa,bakerkevin@example.org,034 Richard Path,Knightville,Alaska,Saint Vincent and the Grenadines
69,Bryan,Kent,karenholland@example.com,5393 Andre Meadow,Rogerton,Idaho,Pakistan
70,Sean,Edwards,chensley@example.com,50226 Douglas Port,Dayland,California,Solomon Islands
71,Jared,Olson,hernandezmichael@example.net,93325 Gabriel Mount Suite 858,North Danamouth,South Carolina,Switzerland
72,Michelle,Wong,andrew02@example.com,53143 Pamela Islands,New Christopher,New York,Pakistan
73,Kevin,Walker,luis54@example.com,0497 Kerr Crossing,Lake James,Indiana,Kiribati
74,Jeffrey,Patterson,tyler93@example.org,890 Sarah Terrace Suite 408,Scottfurt,New York,Uzbekistan
75,Rebecca,Anderson,robert34@example.net,2023 Tanya Club,Port Andrew,Connecticut,Mauritius
76,Amanda,Peterson,lopezchristopher@example.net,213 John Place Apt. 637,Michaelhaven,Connecticut,Romania
77,Vickie,Perez,tonya02@example.org,9295 Graham Stream,Ramseybury,Iowa,Chad
78,Donna,Coleman,joshua29@example.org,40694 Bennett Lane Apt. 701,South Pamelatown,Delaware,Marshall Islands
79,Jennifer,Jacobs,robin55@example.org,146 Schwartz Crossroad,Bennettmouth,Wisconsin,Bolivia
80,Brian,Hicks,mbrown@example.org,3039 Sweeney Mews Suite 447,Mooreville,South Carolina,Ethiopia
81,James,Jones,hwebb@example.com,06454 Vang Junction,Pollardburgh,Arizona,Lao People's Democratic Republic
82,Michael,Collins,barbarahughes@example.com,60775 Matthew Mills Apt. 651,Floydstad,California,Bangladesh
83,Thomas,Jones,thomasdawn@example.net,270 Good Harbor Apt. 744,Port Lawrenceview,Alaska,French Polynesia
84,Bradley,Jones,benjamindavis@example.org,6563 Hanson Roads Suite 314,Perryfort,Kentucky,San Marino
85,Robert,Sullivan,jonathan80@example.org,405 Felicia Fall,North Tammiemouth,Michigan,Comoros
